"bylaw_id","highway","between","failed_reason","resaon"
6511,"Yorkdale Road","Dufferin Street and the exit ramp onto southbound William R. Allen Road",3,"no int_id is not found for the second intersection only"
6513,"Bayview Wood","Mildenhall Road and the northeast limit of Bayview Wood",3,"no int_id is not found for the second intersection only"
6525,"Fidelia Avenue","Strathgowan Crescent and St. Leonard's Crescent/Dawlish Avenue",3,"no int_id is not found for the second intersection only"
6527,"Glenallan Road","Strathgowan Avenue and Glengowan Road",3,"no int_id is not found for the second intersection only"
6614,"Brookdale Avenue (west leg)","Bathurst Street and the easterly limit of Brookdale Avenue (west leg, east of Grey Road)",3,"no int_id is not found for the second intersection only"
6617,"Caribou Road (south leg)","Bathurst Street and the easterly end of Caribou Road (south leg), east of Ledbury Street (south intersection)",3,"no int_id is not found for the second intersection only"
6620,"Cheritan Avenue (west leg)","Rosewell Avenue and the easterly end of Cheritan Avenue (west leg)",3,"no int_id is not found for the second intersection only"
6654,"Roselawn Avenue","Roselawn Avenue and Lytton Boulevard",3,"no int_id is not found for the second intersection only"
6880,"Bassano Road","Cameron Avenue and Botham Road",3,"no int_id is not found for the second intersection only"
6911,"Bessborough Drive","Sutherland Drive and dead end north of Parkhurst Boulevard",3,"no int_id is not found for the second intersection only"
45,"Aldbury Gardens","St. Hilda's Avenue and the east end of Aldbury Gardens",4,"no int_id is not found for both intersections"
499,"Breezewood Drive","The west end of Breezewood Dive and Ivy Lea Crescent",4,"no int_id is not found for both intersections"
537,"Broadlands Boulevard","Shaunavon Heights Crescents (east intersection) and Mewata Gate",4,"no int_id is not found for both intersections"
668,"Carlingview Drive","Highway 401 ramp and Entrance Road",4,"no int_id is not found for both intersections"
726,"Chadburn Road","Cloverhill Road and Cannon Road",4,"no int_id is not found for both intersections"
737,"Charleswood Drive","King High Avenue and Bathurst Street",4,"no int_id is not found for both intersections"
747,"Chelsea Avenue","Indian Road Crescent and Dundas Street West",4,"no int_id is not found for both intersections"
945,"Cuffley Crescent South","Keelegate Drive (west intersection) and Tilbury Drive",4,"no int_id is not found for both intersections"
1081,"Don Valley Parkway (northbound and southbound)","Frederick G. Gardiner Expressway and Highway 404",4,"no int_id is not found for both intersections"
1082,"Don Valley Parkway (northbound and southbound)","Frederick G. Gardiner Expressway and Highway 404",4,"no int_id is not found for both intersections"
1083,"Don Valley Parkway Northbound Off-Ramp","Don Valley Parkway northbound and a point 1040 metres east/north of Drumsnab Road",4,"no int_id is not found for both intersections"
1084,"Don Valley Parkway Northbound On-Ramp","A point 1040 metres east/north of Drumsnab Road and the Don Valley Parkway northbound",4,"no int_id is not found for both intersections"
1085,"Don Valley Parkway Southbound Off-Ramp","Don Valley Parkway southbound and a point 1040 metres east/north of Drumsnab Road",4,"no int_id is not found for both intersections"
1086,"Don Valley Parkway Southbound On-Ramp","A point 1040 metres east/north of Drumsnab Road and the Don Valley Parkway soutbound",4,"no int_id is not found for both intersections"
1087,"Don Valley Parkway/Bayview-Bloor Ramp","A point approximately 440 metres east/north of Drumsnab Road (the on-ramp for southbound Bayview Avenue) and a point approximately 600 metres further east",4,"no int_id is not found for both intersections"
1088,"Don Valley Parkway/Bayview-Bloor Ramp","Drumsnab Road and a point approximately 440 metres east/north (to the on-ramp for southbound Bayview Avenue)",4,"no int_id is not found for both intersections"
1092,"Doncliffe Drive","Doncliffe Place (south intersection) and Mount Pleasant Road",4,"no int_id is not found for both intersections"
1401,"First lane north of Bloor Street West","Brentwood Road North and the east end of the first lane north of Bloor Street West",4,"no int_id is not found for both intersections"
1457,"Frederick G. Gardiner Expressway (eastbound)","A point 244 metres west of The South Kingsway and Lake Shore Boulevard East",4,"no int_id is not found for both intersections"
1458,"Frederick G. Gardiner Expressway (eastbound)","Highway 427 and the Humber River",4,"no int_id is not found for both intersections"
1459,"Frederick G. Gardiner Expressway (westbound)","Highway 427 and the Humber River",4,"no int_id is not found for both intersections"
1460,"Frederick G. Gardiner Expressway (westbound)","A point 244 metres west of The South Kingsway and Lake Shore Boulevard East",4,"no int_id is not found for both intersections"
1462,"Frederick G. Gardiner Expressway Eastbound Off-Ramp (eastbound lanes)","A point 100 metres west of Legion Road North and Park Lawn Road",4,"no int_id is not found for both intersections"
1886,"Highway 27","The northerly limit of the Highway 401 overpass and Belfield Road",4,"no int_id is not found for both intersections"
1887,"Highway 2A","The westerly limit of the Highway 401 overpass and a point approximately 2,150 metres west",4,"no int_id is not found for both intersections"
1896,"Hillhurst Boulevard","The north end lof Hillhurst Boulevard and Proudfoot Avenue",4,"no int_id is not found for both intersections"
